YEAR,PERIOD,UNIT_CODE,UNIT_TITLE,DELIVERY_UNIT,FULL_PERIOD_NUM,CLASS_SIZE,CLASS_BOXPLOT
2021,H1B2,NEF2101,Fluid mechanics 1,NEF2101-2021-H1B2,2021120,29,"{""q1"": 59.25, ""median"": 68.0, ""q3"": 83.5, ""whisker_low"": 24.0, ""whisker_high"": 96.0, ""outliers"": [1.0]}"
2021,H1B2,NEF3101,Project management,NEF3101-2021-H1B2,2021120,22,"{""q1"": 54.25, ""median"": 57.5, ""q3"": 60.75, ""whisker_low"": 50.0, ""whisker_high"": 70.0, ""outliers"": [44.0, 15.0, 73.0, 72.0, 41.0]}"
2021,H1B2,NEF4001,Computational heat and fluid flows,NEF4001-2021-H1B2,2021120,34,"{""q1"": 60.0, ""median"": 66.5, ""q3"": 72.0, ""whisker_low"": 50.0, ""whisker_high"": 87.0, ""outliers"": [13.0]}"
2021,H1B2,NEF4105,Professional engineering practice,NEF4105-2021-H1B2,2021120,51,"{""q1"": 66.0, ""median"": 75.0, ""q3"": 84.0, ""whisker_low"": 40.0, ""whisker_high"": 97.0, ""outliers"": []}"
2021,H1B2,NEF4108,Architectural lighting and acoustics,NEF4108-2021-H1B2,2021120,19,"{""q1"": 62.5, ""median"": 73.0, ""q3"": 83.5, ""whisker_low"": 35.0, ""whisker_high"": 85.0, ""outliers"": []}"
2021,H1B2,NEM1001,Algebra and calculus,NEM1001-2021-H1B2,2021120,57,"{""q1"": 50.0, ""median"": 68.0, ""q3"": 81.0, ""whisker_low"": 4.0, ""whisker_high"": 98.0, ""outliers"": [2.0, 0.0, 1.0]}"
2021,H1B2,NEM3101,Engineering analysis and modelling,NEM3101-2021-H1B2,2021120,8,{}
2021,H1B2,NEM3203,Stress analysis,NEM3203-2021-H1B2,2021120,20,"{""q1"": 64.0, ""median"": 65.0, ""q3"": 74.0, ""whisker_low"": 57.0, ""whisker_high"": 84.0, ""outliers"": []}"
2021,HES1,JES0001,Cross institutional outbound,JES0001-2021-HES1,2021110,1,{}
2021,H1B1,NBC1111,Fundamentals of building construction,NBC1111-2021-H1B1,2021110,122,"{""q1"": 51.0, ""median"": 64.0, ""q3"": 75.0, ""whisker_low"": 19.0, ""whisker_high"": 95.0, ""outliers"": [7.0, 14.0, 6.0, 0.0, 0.0, 0.0, 0.0]}"
